Locomotion,Speed (um/s)
crawl,6.09075
crawl,5.18675
crawl,5.18675
crawl,5.18675
crawl,4.40475
crawl,3.31775
crawl,2.5555
crawl,2.5555
crawl,2.69675
crawl,2.5765
crawl,2.5765
crawl,2.5765
crawl,2.5765
crawl,2.2985
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.91825
crawl,3.5935
crawl,3.5935
crawl,3.5935
crawl,3.6635
crawl,3.6635
crawl,3.80225
crawl,3.80225
crawl,3.03975
crawl,3.03975
crawl,4.29225
crawl,4.48725
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.8005
crawl,3.8005
crawl,3.8005
crawl,3.8005
crawl,3.65925
crawl,3.81525
crawl,3.81525
crawl,3.81525
crawl,3.90025
crawl,3.94
crawl,3.75475
crawl,3.75475
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.8775
crawl,4.22125
crawl,4.41725
crawl,4.41725
crawl,3.55525
crawl,3.71875
crawl,3.71875
crawl,3.71875
crawl,3.64875
crawl,3.64875
crawl,3.51
crawl,3.579
crawl,3.466
crawl,3.68575
crawl,2.43325
crawl,2.933
crawl,2.933
crawl,2.933
crawl,3.52375
crawl,3.52375
crawl,3.52375
crawl,3.52375
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.6725
crawl,4.6725
crawl,4.6725
crawl,5.36375
crawl,5.324
crawl,5.2515
crawl,5.2515
crawl,5.1835
crawl,5.85475
crawl,5.85475
crawl,5.85475
crawl,6.94075
crawl,6.94075
crawl,6.886
crawl,6.54225
crawl,7.1795
crawl,7.1795
crawl,7.76075
crawl,6.922
crawl,6.922
crawl,7.80125
crawl,8.80125
crawl,8.80125
crawl,8.80125
crawl,8.73225
crawl,9.359
crawl,9.13925
crawl,9.13925
crawl,8.4445
crawl,8.4445
crawl,8.4445
crawl,8.78
crawl,8.78
crawl,8.78
crawl,8.78
crawl,7.5885
crawl,7.5885
crawl,7.5885
crawl,8.37
crawl,9.296
crawl,10.2225
crawl,11.788
crawl,11.788
crawl,11.01175
crawl,11.01175
crawl,11.01175
crawl,11.4685
crawl,11.4685
crawl,10.79725
crawl,10.79725
crawl,10.79725
crawl,9.71125
crawl,9.71125
crawl,9.71125
crawl,9.71125
crawl,9.39075
crawl,9.39075
crawl,8.8095
crawl,8.8095
crawl,8.8095
crawl,7.98075
crawl,7.16325
crawl,7.16325
crawl,7.16325
crawl,7.16325
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.621
crawl,5.69475
crawl,5.69475
crawl,5.69475
crawl,6.95575
crawl,6.95575
crawl,6.95575
crawl,6.95575
crawl,6.17425
crawl,5.24825
crawl,4.1135
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,3.20775
crawl,3.20775
crawl,3.20775
crawl,3.20775
crawl,2.695
crawl,2.695
crawl,2.695
crawl,2.695
crawl,2.695
crawl,2.6445
crawl,3.46325
crawl,3.46325
crawl,3.46325
crawl,3.46325
crawl,3.46325
crawl,3.46325
crawl,3.64825
crawl,3.64825
crawl,3.64825
crawl,3.72925
crawl,3.72925
crawl,3.72925
crawl,3.72925
crawl,2.46825
crawl,2.5095
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.249
crawl,3.32575
crawl,3.32575
crawl,4.57275
crawl,4.57275
crawl,4.57275
crawl,3.45625
crawl,3.45625
crawl,3.45625
crawl,3.45625
crawl,3.45625
crawl,3.45625
crawl,3.45625
crawl,4.10575
crawl,4.16475
crawl,4.16475
crawl,3.1635
crawl,3.1635
crawl,3.1635
crawl,3.1635
crawl,3.1635
crawl,3.1635
crawl,4.365
crawl,4.365
crawl,4.365
crawl,4.1995
crawl,4.1995
crawl,4.1995
crawl,4.1995
crawl,4.3845
crawl,4.5225
crawl,3.783
crawl,3.783
crawl,3.783
crawl,3.783
crawl,3.783
crawl,3.783
crawl,3.84425
crawl,3.84425
crawl,3.84425
crawl,3.84425
crawl,3.7675
crawl,3.7675
crawl,2.5205
crawl,2.70725
crawl,2.70725
crawl,2.70725
crawl,2.70725
crawl,2.70725
crawl,2.70725
crawl,3.4495
crawl,3.4495
crawl,3.4495
crawl,2.85425
crawl,2.79525
crawl,2.79525
crawl,2.79525
crawl,2.86625
crawl,2.86625
crawl,2.86625
crawl,3.02625
crawl,3.02625
crawl,1.63975
crawl,1.68125
crawl,1.8065
crawl,1.8065
crawl,1.86325
crawl,1.86325
crawl,1.86325
crawl,1.67825
crawl,1.499
crawl,1.499
crawl,1.499
crawl,1.499
crawl,1.552
crawl,1.552
crawl,1.687
crawl,1.62575
crawl,2.39
crawl,2.39
crawl,3.19625
crawl,3.19625
crawl,3.19625
crawl,3.19625
crawl,3.0095
crawl,3.0095
crawl,3.84175
crawl,3.84175
crawl,3.84175
crawl,3.84175
crawl,3.0995
crawl,3.0995
crawl,3.0995
crawl,3.04525
crawl,3.7555
crawl,3.7555
crawl,3.7555
crawl,3.6845
crawl,3.6845
crawl,3.6845
crawl,3.5245
crawl,5.1945
crawl,5.1945
crawl,5.153
crawl,5.02775
crawl,5.02775
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.007
crawl,5.1645
crawl,5.1645
crawl,5.0295
crawl,5.0295
crawl,4.26525
crawl,4.26525
crawl,4.30975
crawl,5.44825
crawl,5.44825
crawl,5.44825
crawl,5.44825
crawl,6.42275
crawl,5.5905
crawl,5.5905
crawl,5.5905
crawl,6.84
crawl,6.84
crawl,6.84
crawl,6.84
crawl,6.84
crawl,6.12975
crawl,6.40475
crawl,8.1055
crawl,9.90675
crawl,10.74025
crawl,10.74025
crawl,11.2595
crawl,9.5895
crawl,9.5895
crawl,9.5895
crawl,9.5895
crawl,9.5895
crawl,9.5535
crawl,9.5535
crawl,9.5535
crawl,9.5535
crawl,9.5535
crawl,9.5535
crawl,9.5535
crawl,10.22925
crawl,11.2675
crawl,11.2675
crawl,11.2675
crawl,11.2675
crawl,11.2675
crawl,12.5825
crawl,12.694
crawl,12.747
crawl,12.747
crawl,12.747
crawl,12.747
crawl,11.7725
crawl,11.7725
crawl,11.7725
crawl,11.7725
crawl,10.523
crawl,10.523
crawl,10.523
crawl,10.62025
crawl,10.62025
crawl,10.62025
crawl,10.34525
crawl,8.6445
crawl,6.84325
crawl,6.00975
crawl,6.00975
crawl,5.4905
crawl,5.4905
crawl,5.4905
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.73875
crawl,5.9175
crawl,5.24175
crawl,3.993
crawl,3.993
crawl,3.993
crawl,3.993
crawl,3.993
crawl,2.85825
crawl,1.896
crawl,0.7045
crawl,0.7045
crawl,1.64575
crawl,1.64575
crawl,2.40275
crawl,2.40275
crawl,2.40275
crawl,2.40275
crawl,2.40275
crawl,2.40275
crawl,2.40275
crawl,2.3055
crawl,2.3055
crawl,2.3055
crawl,2.3055
crawl,2.3055
crawl,2.3055
crawl,2.3055
crawl,2.97025
crawl,2.97025
crawl,3.93225
crawl,3.93225
crawl,3.684
crawl,3.684
crawl,4.45725
crawl,4.45725
crawl,4.45725
crawl,4.45725
crawl,4.45725
crawl,4.514
crawl,4.514
crawl,4.33525
crawl,4.33525
crawl,4.4745
crawl,6.036
crawl,6.036
crawl,6.036
crawl,6.9295
crawl,6.74925
crawl,7.83525
crawl,7.83525
crawl,7.83525
crawl,7.007
crawl,7.007
crawl,7.5955
crawl,8.6825
crawl,9.35725
crawl,9.35725
crawl,9.35725
crawl,9.35725
crawl,9.35725
crawl,9.35725
crawl,9.64025
crawl,9.64025
crawl,10.03525
crawl,10.03525
crawl,10.03525
crawl,10.03525
crawl,9.57775
crawl,9.64475
crawl,8.86875
crawl,8.86875
crawl,9.8645
crawl,11.43
crawl,10.65675
crawl,10.65675
crawl,10.65675
crawl,10.84825
crawl,10.84825
crawl,10.7915
crawl,11.305
crawl,11.305
crawl,11.305
crawl,11.31375
crawl,9.75225
crawl,9.75225
crawl,9.75225
crawl,9.068
crawl,9.068
crawl,8.09975
crawl,8.09975
crawl,8.21075
crawl,8.09775
crawl,8.09775
crawl,6.75225
crawl,5.66525
crawl,4.9905
crawl,4.9905
crawl,4.9905
crawl,5.15075
crawl,5.15075
crawl,5.15075
crawl,4.86775
crawl,4.86775
crawl,4.47275
crawl,4.5775
crawl,4.5775
crawl,4.5775
crawl,4.37025
crawl,4.30325
crawl,4.4435
crawl,4.4435
crawl,3.44775
crawl,1.88225
crawl,1.88225
crawl,1.88225
crawl,2.094
crawl,2.53175
crawl,2.53175
crawl,2.53175
crawl,2.01825
crawl,2.01825
crawl,2.01825
crawl,1.87025
crawl,1.87025
crawl,2.51175
crawl,3.2925
crawl,3.08325
crawl,3.08325
crawl,2.9655
crawl,2.9655
crawl,2.8545
crawl,2.8545
crawl,2.8545
crawl,2.8545
crawl,3.85675
crawl,3.85675
crawl,3.85675
crawl,3.85675
crawl,4.355
crawl,4.355
crawl,4.355
crawl,4.355
crawl,4.355
crawl,4.355
crawl,4.4575
crawl,4.4575
crawl,4.4575
crawl,4.4575
crawl,4.4575
crawl,4.13125
crawl,4.13125
crawl,4.682
crawl,4.682
crawl,4.682
crawl,4.682
crawl,4.47025
crawl,3.9465
crawl,3.9465
crawl,3.9465
crawl,3.9465
crawl,3.9465
crawl,4.19225
crawl,4.19225
crawl,4.19225
crawl,3.55075
crawl,2.77
crawl,2.77
crawl,2.77
crawl,2.77
crawl,2.77
crawl,2.77
crawl,2.77
crawl,2.77
crawl,3.06375
crawl,2.0615
crawl,2.0615
crawl,2.0615
crawl,3.726
crawl,3.0675
crawl,3.0675
crawl,3.0675
crawl,3.0675
crawl,3.21475
crawl,3.21475
crawl,3.0075
crawl,3.0075
crawl,4.14375
crawl,4.14375
crawl,4.14375
crawl,4.14375
crawl,4.14375
crawl,3.593
crawl,3.801
crawl,3.801
crawl,3.801
crawl,3.801
crawl,3.846
crawl,3.846
crawl,3.89275
crawl,3.89275
crawl,4.04475
crawl,3.799
crawl,3.799
crawl,3.799
crawl,3.799
crawl,3.799
crawl,3.799
crawl,3.799
crawl,3.799
crawl,5.10125
crawl,5.10125
crawl,5.10125
crawl,5.10125
crawl,4.8075
crawl,4.8075
crawl,4.8075
crawl,4.8075
crawl,3.143
crawl,3.143
crawl,4.18475
crawl,4.18475
crawl,4.18475
crawl,4.96525
crawl,4.96525
crawl,5.92825
crawl,5.92825
crawl,4.792
crawl,4.792
crawl,4.792
crawl,4.792
crawl,4.792
crawl,4.792
crawl,4.584
crawl,4.584
crawl,4.584
crawl,4.584
crawl,4.4335
crawl,4.4335
crawl,5.57725
crawl,6.96525
crawl,6.81325
crawl,7.89975
crawl,7.89975
crawl,7.89975
crawl,7.99375
crawl,7.99375
crawl,7.99375
crawl,7.99375
crawl,8.19575
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,6.8935
crawl,5.85175
crawl,5.85175
crawl,5.85175
crawl,5.02575
crawl,5.02575
crawl,4.06275
crawl,4.06275
crawl,4.18575
crawl,4.18575
crawl,4.18575
crawl,4.18575
crawl,4.18575
crawl,4.18575
crawl,4.30625
crawl,4.30625
crawl,4.30625
crawl,4.30625
crawl,4.30625
crawl,4.30625
crawl,3.11575
crawl,1.872
crawl,1.872
crawl,0.7855
crawl,0.7855
crawl,0.7855
crawl,0.6915
crawl,0.6915
crawl,0.6915
crawl,0.6915
crawl,0.4895
crawl,0.4895
crawl,0.4895
crawl,0.4895
crawl,0.4895
crawl,0.4895
crawl,0.4895
crawl,0.65575
crawl,0.65575
crawl,0.65575
crawl,0.65575
crawl,0.65575
crawl,0.65575
crawl,0.65575
crawl,0.554
crawl,0.554
crawl,0.554
crawl,0.554
crawl,1.573
crawl,1.573
crawl,1.573
crawl,1.573
crawl,1.573
crawl,1.573
crawl,1.4525
crawl,1.4525
crawl,1.4525
crawl,1.62925
